,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
745,영국,Oxford University,"We’ll reduce our water consumption even more: continue to roll out our Water Management Strategy, prioritise water efficiency in buildings that use lots of water, fit low flow taps and showers, calibrate taps and showers for shorter run times, fit smart meters on water supplies to identify leaks, improve the efficiency of equipment that produces laboratory grade water","우리는 물 소비량을 더욱 줄일 것입니다. 물 관리 전략을 지속적으로 수립하고, 물을 많이 사용하는 건물에서 물 효율의 우선 순위를 정하고, 저유량 수도꼭지와 샤워기를 설치하며, 가동 시간을 단축하기 위해 수도꼭지와 샤워기를 조정하고, 누수를 식별하기 위한 스마트 계량기를 수도 공급기에 장착하고, la를 생산하는 장비의 효율성을 개선합니다.","우리의 물 소비를 더욱 줄일 것입니다 : 물 관리 전략을 계속 발전시키고, 많은 물을 사용하는 건물의 물 효율성 우선 순위를 정하고, 낮은 흐름 탭 및 샤워를 맞추고, 더 짧은 달리기 시간을 위해 샤워를 보정하고, 스마트 미터를 맞추십시오.누출을 식별하고 실험실 등급 물을 생산하는 장비의 효율성을 향상시키기위한 물 공급", 식별하고 실험실 등급 물을 생산하는 장비의 효율성을 향상시키기위한 물 공급,6,2
1233,호주,Victoria University,"The Green-Living Lab is also used
for community education, for school
and other groups, on the value of
green infrastructure, water run off for
tank water and native flora to support
biodiversity of the region.","그린 리빙 랩도 사용된다.
지역사회 교육, 학교를 위해
그리고 다른 그룹들 , 가치들 ,
친환경 인프라, 용수 공급
물탱크와 토종식물들을 떠받치다.
그 지역의 생물 다양성","녹색 생활 실험실은 또한 지역 사회 교육, 학교 및 기타 그룹, 녹색 인프라의 가치, 탱크 물 및 고유 식물의 물이 해당 지역의 생물 다양성을 지원하는 데 사용됩니다.","녹색 생활 실험실은 또한 지역 사회 교육, 학교 및 기타 그룹, 녹색 인프라의 가치, 탱크 물 및 고유 식물의 물이 해당 지역의 생물 다양성을 지원하는 데 사용됩니다.",15,2
711,영국,Oxford University,"How does a building reduce its embodied carbon emissions? This is what the property team set out to achieve at 347 Kent Street in Sydney, Australia, as part of a net zero carbon project to reduce embodied carbon emission intensity by 50% by 2040. Embodied carbon considers the carbon footprint of materials throughout the supply chain. The project finds embodied carbon emission reductions by identifying carbon-friendly alternatives. The result – a 17% reduction in embodied carbon emissions (~2,040 tonnes of avoided CO2). Some of the key initiatives undertaken were the re-use of ceiling grids; the adoption of fly-ash replacement concrete mix; 100% secondhand formwork; recycled content re-bar; re-purposed steel temporary structures; and retaining a heritage façade.","빌딩은 어떻게 그것의 내재된 탄소 배출을 줄일 수 있는가? 이는 2040년까지 실체 탄소배출 강도를 50% 줄이기 위한 순 제로 탄소 프로젝트의 일환으로 부동산팀이 호주 시드니 켄트 스트리트 347번지에서 달성하기로 한 내용이다. 체화 탄소는 공급망 전체에 걸쳐 재료의 탄소 발자국을 고려합니다. 이 프로젝트는 탄소 친화적인 대안들을 찾아냄으로써 구체화된 탄소 배출 감소를 찾아낸다. 그 결과, 내장 탄소 배출량이 17% 감소했습니다(피연 CO2 약 2,040톤). 수행된 주요 이니셔티브 중 일부는 천장 그리드의 재사용, 플라이애쉬 대체 콘크리트 혼합물의 채택, 100% 중고 거푸집, 재활용된 내용물 리바, 재사용 강철 임시 구조물, 그리고 유산 면의 유지였다.","건물은 구체화 된 탄소 배출을 어떻게 줄입니까?이것은 2040 년까지 구체화 된 탄소 배출 강도를 50% 줄이기위한 순 제로 탄소 프로젝트의 일환으로 호주 시드니의 347 Kent Street에서 부동산 팀이 달성하기 시작했습니다. 구체화 된 탄소체인.이 프로젝트는 탄소 친화적 인 대안을 식별하여 구현 된 탄소 방출 감소를 발견했습니다.결과 - 구현 된 탄소 배출량의 17% 감소 (~ 2,040 톤의 피하는 CO2).수행 된 주요 이니셔티브 중 일부는 천장 그리드의 재사용이었습니다.플라이 애쉬 교체 콘크리트 믹스의 채택;100% 중고 형태;재활용 콘텐츠 재판;재설치 스틸 임시 구조;그리고 유산 외관을 유지합니다.",건물은 구체화 된 탄소 배출을 어떻게 줄입니까,13,2
1201,호주,Victoria University,"Conflicts between territories over
water sharing arrangements may
become more severe due to additional
dependency on water, growing
population, and reduced availability as
a result of climate change. This
complex issue is addressed in An
Engineering Perspective of Water
Sharing Issues in Pakistan , in
relation to the water sharing
arrangements between Pakistan, India
and Afghanistan in the Indus Basin, by
Muhammed Atiq Ur Rehman Tariq from
VU and researchers from the
Netherlands and Pakistan. Equitable
management issues and outdated
irrigation practices are exacerbating
a water shortage in the basin which
is now increasingly countered by the
use of groundwater. This sudden high
extraction of groundwater is causing
depletion of the groundwater table
and quality issues, which is
heightening provincial conflicts
over water. Policy, enforcement,
engineering and social support are all
needed to develop a comprensive, fair
and transparent water strategy.","에 대한 영토간의 갈등
물 공유 안배는 다음과 같다.
가일층의 증세로 더 심해지다
물에 대한 의존성, 성장
인구 및 가용성 감소
기후 변화의 결과 이것.
복잡한 이슈는 An에서 다루어진다.
물의 공학적 관점
파키스탄의 공유 문제들
물 공유에 대한 관계
파키스탄과 인도 사이의 협정
인더스 분지에 있는 아프가니스탄과
무하메드 아티크 우르 레만 타리크
의 VU 및 연구자
네덜란드와 파키스탄. 형평성
관리 문제와 구식
관개 관행이 악화되고 있다
...의 분지의 물 부족.
이제 에 의해 점점 더 반박되고 있다.
지하수의 이용 이 갑작스런 최고치
지하수의 추출이 원인이 되고 있다.
지하수 테이블 고갈
품질 문제, 즉
지방 분쟁의 고조
수중에서 정책, 시행,
공학과 사회적 지원이 전부이다.
종합적이고 공정하게 발전하기 위해 필요했습니다.
투명한 물 전략.","물 공유 계약에 대한 영토 간의 갈등은 물에 대한 추가 의존성, 인구 증가 및 기후 변화의 결과로 가용성 감소로 인해 더욱 심각해질 수 있습니다.이 복잡한 문제는 파키스탄, 인도 및 아프가니스탄의 물 공유 계약과 관련하여 파키스탄의 물 공유 문제에 대한 엔지니어링 관점, VU의 Muhammed Atiq Ur Rehman Tariq와 네덜란드와 파키스탄의 연구원들에 의해 해결된다.공평한 관리 문제와 구식 관개 관행은 유역에서 물 부족을 악화시키고 있으며, 이는 이제 지하수 사용에 의해 점점 더 대응되고 있습니다.이러한 갑작스런 지하수 추출은 지하수 테이블과 품질 문제가 고갈되어 물에 대한 지방의 갈등을 높이고 있습니다.정책, 시행, 공학 및 사회적 지원은 모두 구성적이고 공정하며 투명한 물 전략을 개발하기 위해 필요합니다.","물 공유 계약에 대한 영토 간의 갈등은 물에 대한 추가 의존성, 인구 증가 및 기후 변화의 결과로 가용성 감소로 인해 더욱 심각해질 수 있습니다",6,2
1025,영국,University of Essex,"As a University, we are taking action to reduce
water consumption across our three sites,
focusing on waste avoidance and increasing
rain/grey water use.","""대학으로서, 우리는 감소하기 위한 조치를 취하고 있습니다.
3개 사이트에 걸친 물 소비량
폐기물 회피 및 증가에 집중하기
비/회수 사용.""",대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,6,2
113,오스트레일리아,Newcastle australia,"WATER RESEARCH ROADMAP
In consultation with industry and government stakeholders, the University has produced a Water Research Roadmap to ensure we are positioned to best assist the water sector. The Roadmap identifies the guiding principles and priority actions necessary to meet current and future water needs, sustain healthy communities, support regional economic prosperity, and protect and restore ecosystems and biodiversity values.
It sets up our research centres to explore and monitor event-based impacts on marine environments, disturbances on estuarine and coastal ecosystems, aquatic toxicology and more as priorities for the University.","""물 연구 로드맵
산업계 및 정부 이해관계자들과의 협의 하에, 대학은 우리가 물 분야를 가장 잘 지원할 수 있도록 하기 위해 물 연구 로드맵을 작성했습니다. 로드맵은 현재와 미래의 물 수요를 충족시키고, 건강한 지역사회를 유지하며, 지역 경제 번영을 지원하고, 생태계와 생물 다양성 가치를 보호 및 회복하기 위해 필요한 지침 원칙과 우선 순위를 파악한다. 그것은 해양 환경에 대한 사건 기반 영향, 하구와 해안 생태계에 대한 교란, 수생 독성학 등을 탐색하고 감시하기 위해 우리의 연구 센터를 설립한다.""","물 리서치 로드맵 산업 및 정부 이해 관계자와 협의 하여이 대학은 수자원 부문을 가장 잘 지원할 수 있도록 물 연구 로드맵을 만들었습니다.로드맵은 현재와 미래의 물 요구를 충족시키고, 건강한 지역 사회를 유지하며, 지역 경제 번영을 지원하며, 생태계와 생물 다양성 가치를 보호하고 복원하는 데 필요한 지침 원칙과 우선 순위 조치를 식별합니다.이는 해양 환경에 대한 이벤트 기반 영향, 하구 및 해안 생태계에 대한 교란, 수생 독성학 등 대학의 우선 순위를 탐색하고 모니터링하기위한 연구 센터를 설정합니다.",물 리서치 로드맵 산업 및 정부 이해 관계자와 협의 하여이 대학은 수자원 부문을 가장 잘 지원할 수 있도록 물 연구 로드맵을 만들었습니다,14,2
1645,캐나다,Carleton University,"Drink tap water instead of bottled
Take advantage of water bottle filling stations across the campus.

Drink only from the tap with glasses or reusable water bottles
Fill up reusable water bottles on campus at a filtered water bottle filling station","병에 담지 말고 수돗물을 마셔라.
캠퍼스 전체에 있는 물병 충전소를 이용하십시오.

유리잔이나 재사용 가능한 물병과 함께 수도꼭지에서만 마시기
여과된 물병 충전소에서 캠퍼스에서 재사용 가능한 물병을 채웁니다.",병에 든 수돗물을 마시면 캠퍼스 전역의 물병 충전국을 활용하십시오.안경이나 재사용 가능한 물병으로 수돗물에서만 마시십시오. 필터링 된 물병 충전재의 캠퍼스에서 재사용 가능한 물병을 채우십시오., 재사용 가능한 물병으로 수돗물에서만 마시십시오. 필터링 된 물병 충전재의 캠퍼스에서 재사용 가능한 물병을 채우십시오.,6,2
1260,미국,The University of Texas at Dallas,"Clean Water and Sanitation Locally
Fortunately, drinking water in Dallas goes through extensive sanitation and management procedures, making it safe for consumption. However, recent events have proven that access to clean water can quickly be disrupted. During the 2021 winter storm, many households were put under boil orders and some lost access to running water entirely.

The DFW area is also prone to drought, so sustainable water management practices are essential for the maintenance of lifestyles in North Texas. Researchers from the University of Texas at Arlington estimate that between 2041 and 2050, DFW will see extreme temperatures rise above 120, as well as longer droughts and more extreme rainstorms. Ensuring that water is used sustainability on campus at UT Dallas contributes to more sustainable practices and climate readiness in the future.","지역 내 깨끗한 물 및 위생
다행히 댈러스의 식수는 광범위한 위생 및 관리 절차를 거치기 때문에 안심하고 마실 수 있다. 하지만, 최근의 사건들은 깨끗한 물에 대한 접근이 빠르게 중단될 수 있다는 것을 증명했습니다. 2021년 겨울 폭풍 동안, 많은 가정들이 끓는 명령을 받았고 일부는 흐르는 물에 완전히 접근할 수 없게 되었다.

DFW 지역은 또한 가뭄이 발생하기 쉬우므로 지속 가능한 물 관리 관행이 노스 텍사스의 생활 방식을 유지하기 위해 필수적이다. 알링턴에 있는 텍사스 대학의 연구원들은 2041년과 2050년 사이에 DFW가 더 긴 가뭄과 더 많은 극심한 폭풍우뿐만 아니라 120 이상의 극단적인 기온을 보일 것이라고 추정한다. UT 댈러스의 캠퍼스에서 물이 지속가능하게 사용되도록 보장하는 것은 미래에 더 지속가능한 관행과 기후 준비에 기여한다.",깨끗한 물과 위생 지역적으로 다행스럽게도 달라스의 식수는 광범위한 위생 및 관리 절차를 거쳐 소비에 안전합니다.그러나 최근의 사건은 깨끗한 물에 대한 접근이 빠르게 중단 될 수 있음을 입증했습니다.2021 년 겨울 폭풍 동안 많은 가정이 끓는 명령을 받았으며 일부는 달리는 물에 대한 접근성을 잃어 버렸습니다.DFW 지역은 또한 가뭄이 발생하기 쉽기 때문에 노스 텍사스의 생활 양식 유지에 지속 가능한 물 관리 관행이 필수적입니다.알링턴에있는 텍사스 대학교 (University of Texas)의 연구원들은 2041 년에서 2050 년 사이에 DFW가 120 개 이상의 극심한 온도와 더 긴 가뭄과 극도의 비바람을 볼 수 있다고 추정합니다.UT Dallas의 캠퍼스에서 물을 사용하도록 보장하는 것은 향후 지속 가능한 관행과 기후 준비에 기여합니다., 지역은 또한 가뭄이 발생하기 쉽기 때문에 노스 텍사스의 생활 양식 유지에 지속 가능한 물 관리 관행이 필수적입니다,6,2
1632,핀란드,University of Eastern Finland,"The research group on Plant Biology
studies how Northern plants adapt
to global warming, changing water
conditions and increased greenhouse
gases","식물생물학 연구회
북부식물이 어떻게 적응하는지 연구들
지구 온난화, 물갈이
조건과 증가된 온실
가스","식물 생물학 연구 그룹은 북부 식물이 지구 온난화, 물 조건 변화 및 온실 가스 증가에 어떻게 적응하는지 연구","식물 생물학 연구 그룹은 북부 식물이 지구 온난화, 물 조건 변화 및 온실 가스 증가에 어떻게 적응하는지 연구",15,2
1996,영국,University of East Anglia,We are dedicated to supporting sustainable fishing and maximise the use of fish on the Marine Conservation Society’s ‘fish to eat’ list – meaning that fish at most risk of extinction are not caught to prevent overfishing.,"우리는 지속 가능한 어업을 지원하고 해양 보존 협회의 '먹어야 할 물고기' 목록에 있는 물고기의 사용을 극대화하는 데 전념하고 있습니다. 즉, 대부분의 멸종 위험이 있는 물고기는 남획을 방지하기 위해 잡히지 않습니다.","우리는 지속 가능한 낚시를 지원하기 위해 최선을 다하고 있으며 해양 보존 협회의 '먹는 물고기'목록에서 물고기의 사용을 극대화합니다. 즉, 대부분의 멸종 위험에 처한 물고기는 남획을 방지하기 위해 잡히지 않습니다.","우리는 지속 가능한 낚시를 지원하기 위해 최선을 다하고 있으며 해양 보존 협회의 '먹는 물고기'목록에서 물고기의 사용을 극대화합니다. 즉, 대부분의 멸종 위험에 처한 물고기는 남획을 방지하기 위해 잡히지 않습니다.",14,2
